evaluation_item_id,base_case_id,condition
EV-a325911102fa69ed,emergency_er_symptom_ar_hsk5,C1_Full
EV-3ac506b88df29128,emergency_er_symptom_ar_hsk5,C2_NoAgent_Monolith
EV-5b0dbc776b42bbe6,emergency_er_symptom_ar_hsk5,C3_NoA3
EV-7892cfe2188593ff,campus_classroom_leave_ja_hsk5,C1_Full
EV-4b9ebf069fa65e29,campus_classroom_leave_ja_hsk5,C2_NoAgent_Monolith
EV-bcf2add5d37bad79,campus_classroom_leave_ja_hsk5,C3_NoA3
EV-014b32fce2344ce5,housing_maintenance_report_fr_hsk3,C1_Full
EV-f249f3c7ab9aee79,housing_maintenance_report_fr_hsk3,C2_NoAgent_Monolith
EV-a79697b4967f61c6,housing_maintenance_report_fr_hsk3,C3_NoA3
EV-6ffd10dd42c81506,medical_pharmacy_otc_es_hsk3,C1_Full
EV-cdb2a0f5e0e344f4,medical_pharmacy_otc_es_hsk3,C2_NoAgent_Monolith
EV-6ca689c54a2c9481,medical_pharmacy_otc_es_hsk3,C3_NoA3
EV-06b76275ee78f639,shopping_inquiry_size_en_hsk1,C1_Full
EV-a21a30cad321aa4f,shopping_inquiry_size_en_hsk1,C2_NoAgent_Monolith
EV-f1aec967feac83f2,shopping_inquiry_size_en_hsk1,C3_NoA3
EV-3a14fbf9e6a61230,transport_subway_basic_ja_hsk1,C1_Full
EV-69b53b1403c4dbd5,transport_subway_basic_ja_hsk1,C2_NoAgent_Monolith
EV-254fa9ec06a393b0,transport_subway_basic_ja_hsk1,C3_NoA3
