claim_id,citation_key,body_usable_claim,evidence_location,allowed_strength,forbidden_extension,rq_or_section,verification_status
RW01,chu2025agents,"Educational LLM agents have been surveyed across pedagogical tasks, enabling technologies, and deployment challenges.","Findings of EMNLP 2025, abstract; PDF Sections 2-4 and pp.13782-13810",descriptive,"Does not prove that multi-agent systems outperform fair monolithic baselines.",RQ1/Related Work,verified
RW02,chu2025agents,"Multi-agent communication is among the capabilities discussed for educational LLM agents.","PDF introduction and technical framework discussion; p.13782 onward",descriptive,"Do not claim this paper introduced the first educational multi-agent system.",RQ1/Related Work,verified
RW03,sun2025multitutor,"MultiTutor coordinates specialized agents to produce explanations, visualizations, resources, practice problems, and interactive simulations.","PMLR 273 authority abstract; PDF pp.174-190, framework description",descriptive,"Do not generalize its reported results to all multi-agent education systems.",RQ1/Related Work,verified
RW04,sun2025multitutor,"MultiTutor reports automatic-metric and case-study comparisons with baseline models.","PMLR 273 authority abstract; PDF pp.174-190, evaluation and case-study sections",reported_result,"Do not call it a budget-matched causal demonstration of role decomposition.",RQ1/Related Work,verified
RW05,thomas1983,"Cross-cultural pragmatic failure includes pragmalinguistic and sociopragmatic dimensions.","Applied Linguistics 4(2), pp.91-112; abstract and conceptual discussion",conceptual,"Do not attribute LLM-specific findings to this 1983 paper.",RQ2/Theory,verified
RW06,thomas1983,"Cross-cultural pragmatics instruction should avoid prescriptivism and support metapragmatic awareness.","Applied Linguistics 4(2), abstract/conclusion, pp.91-112",conceptual,"Do not turn cultural tendencies into universal rules.",RQ2/Limitations,verified
RW07,godwinjones2024,"Generative AI lacks human lived social experience and can produce pragmatically inappropriate language.","arXiv:2410.14395, abstract and pp.2-4",critical_synthesis,"Does not prove that the proposed A3 agent fixes these limitations.",RQ2/Motivation,verified
RW08,godwinjones2024,"English-dominant and Western training data create linguistic and cultural authenticity concerns for L2 use.","arXiv:2410.14395, abstract and p.2",critical_synthesis,"Do not claim every model or output is Western-biased.",RQ2/Motivation,verified
RW09,wang2024chatgpt,"ChatGPT has been examined as a conversational agent for Spanish-speaking learners of Chinese.","Sinología Hispánica 18(1), pp.71-98, title/abstract/method discussion",descriptive,"Do not infer robust causal learning gains or generalize to all L1 groups.",RQ2/CSL prior,verified
RW10,wang2024chatgpt,"The study reports potential benefits for communicative motivation, learning-content accuracy, and intercultural barriers.","Sinología Hispánica 18(1), abstract and conclusion",author_reported,"Write 'reports/suggests', not 'proves' or 'significantly improves'.",RQ2/CSL prior,verified
