citation_id,title,authors,year,venue,publication_status,authoritative_url,doi_or_anthology_id,evidence_location,verified_claims,relevance,verification_status,verified_by,verified_at
chu2025agents,"LLM Agents for Education: Advances and Applications","Zhendong Chu et al.",2025,"Findings of EMNLP 2025",published,https://aclanthology.org/2025.findings-emnlp.743/,10.18653/v1/2025.findings-emnlp.743,"abstract; pp.13782-13810; technical taxonomy/challenges sections","surveys educational LLM agents and deployment challenges","RQ1 background",verified,P1,2026-08-26
edge2024graphrag,"From Local to Global: A Graph RAG Approach to Query-Focused Summarization","Darren Edge et al.",2024,arXiv,preprint,https://arxiv.org/abs/2404.16130,arXiv:2404.16130,"abstract; method description","graph index/community-summary pipeline for global QFS","KG supplemental boundary",verified,P1,2026-08-26
godwinjones2024,"Generative AI, Pragmatics, and Authenticity in Second Language Learning","Robert Godwin-Jones",2024,arXiv,preprint,https://arxiv.org/abs/2410.14395,arXiv:2410.14395,"abstract; pp.2-4 AI authenticity and pragmatics","GenAI lacks lived social experience and exhibits linguistic/cultural bias","RQ2 motivation",verified,P1,2026-08-26
liu2025intercultural,"Exploring the impact of artificial intelligence-enhanced language learning on youths’ intercultural communication competence","Jie Liu",2025,"Humanities and Social Sciences Communications 12:1757",published,https://www.nature.com/articles/s41599-025-06033-x,10.1057/s41599-025-06033-x,"publisher HTML lines 86-90; Methods; Results; Table 1","introduction states three LLM limitations; main study reports a three-month experiment with 262 learners","RQ2 background; indirect LLM evidence",verified,P1,2026-08-26
peng2024graphrag,"Graph Retrieval-Augmented Generation: A Survey","Boci Peng et al.",2024,arXiv,preprint,https://arxiv.org/abs/2408.08921,arXiv:2408.08921v2,"abstract; workflow taxonomy","formalizes indexing retrieval generation stages","KG supplemental boundary",verified,P1,2026-08-26
sun2025multitutor,"MultiTutor: Collaborative LLM Agents for Multimodal Student Support","Edward Sun; LeAnn Tai",2025,"PMLR 273 iRAISE Workshop at AAAI 2025",published_workshop,https://proceedings.mlr.press/v273/sun25a.html,PMLR:v273:sun25a,"abstract; PDF pp.174-190","proposes specialized educational agents and reports automatic/case evaluation","RQ1 direct competitor",verified,P1,2026-08-26
thomas1983,"Cross-Cultural Pragmatic Failure","Jenny Thomas",1983,"Applied Linguistics 4(2)",published,https://academic.oup.com/applij/article-abstract/4/2/91/167524,10.1093/applin/4.2.91,"pp.91-112; abstract and conceptual distinction","distinguishes pragmalinguistic and sociopragmatic failure","RQ2 theory",verified,P1,2026-08-26
wang2024chatgpt,"El ChatGPT como agente conversacional en el aprendizaje de la lengua china para los hispanohablantes","Wang Xiaoling",2024,"Sinología Hispánica 18(1)",published,https://revpubli.unileon.es/index.php/sinologia/article/download/8428/7954/40636,10.18002/sin.v18i1.8428,"pp.71-98; abstract/conclusion","examines ChatGPT as conversational agent for Spanish-speaking Chinese learners","RQ2 adjacent CSL",verified,P1,2026-08-26
chen2024judge,"Humans or LLMs as the Judge? A Study on Judgement Bias","Guiming Hardy Chen et al.",2024,EMNLP 2024,published,https://aclanthology.org/2024.emnlp-main.474/,10.18653/v1/2024.emnlp-main.474,"abstract; pp.8301-8327; bias experiments","both human and LLM judges are vulnerable to multiple biases","RQ2/RQ3 evaluation design",verified,P1,2026-08-26
singh2024culture,"Translating Across Cultures: LLMs for Intralingual Cultural Adaptation","Pushpdeep Singh; Mayur Patidar; Lovekesh Vig",2024,CoNLL 2024,published,https://aclanthology.org/2024.conll-1.30/,10.18653/v1/2024.conll-1.30,"abstract; pp.400-418; task/evaluation sections","defines and evaluates cultural adaptation of LLM text","RQ2 direct adjacent",verified,P1,2026-08-26
